number_id,date_time,epoch,loss_train,loss_validate,maps_train,maps_validate
8,2021-01-14 03:30:14.812822,86,2.6337501623833828,4.648414813078843,"[0.44212132692337036, 0.4099942147731781, 0.37166544795036316, 0.3246423602104187, 0.26912298798561096, 0.2059417963027954, 0.14135369658470154, 0.07065876573324203, 0.017573263496160507, 0.0007710914360359311]","[0.2563973367214203, 0.2213975489139557, 0.18903550505638123, 0.1511361300945282, 0.11523537337779999, 0.07604698091745377, 0.04527241736650467, 0.021927926689386368, 0.004641765728592873, 8.149183122441173e-05]"
29,2021-01-14 03:37:34.387343,37,2.526238460817199,4.657344777862747,"[0.369487464427948, 0.33919891715049744, 0.305759072303772, 0.26256558299064636, 0.21144454181194305, 0.15215733647346497, 0.09230701625347137, 0.03756905347108841, 0.007628331892192364, 0.00027603842318058014]","[0.23081795871257782, 0.2026481330394745, 0.17004390060901642, 0.1354656219482422, 0.10263080894947052, 0.06889739632606506, 0.038865938782691956, 0.014395458623766899, 0.0028591533191502094, 0.00023920144303701818]"
8,2021-01-14 03:39:06.287956,87,2.5309975771016853,4.635811452741747,"[0.45470380783081055, 0.4249562621116638, 0.3879837393760681, 0.341778427362442, 0.29106539487838745, 0.22599712014198303, 0.15125586092472076, 0.07278294861316681, 0.016837958246469498, 0.0005616261041723192]","[0.25516465306282043, 0.22458796203136444, 0.19009466469287872, 0.15362264215946198, 0.11455649137496948, 0.0760544091463089, 0.04558425024151802, 0.020113419741392136, 0.0037845775950700045, 7.849152461858466e-05]"
27,2021-01-14 03:40:10.253522,44,2.7092948626780857,4.8130264591861085,"[0.35136085748672485, 0.32492488622665405, 0.2932809591293335, 0.2530824542045593, 0.20705167949199677, 0.15585856139659882, 0.09953700006008148, 0.04548119381070137, 0.010107859969139099, 0.0003880198346450925]","[0.2335592806339264, 0.2061634361743927, 0.1749514788389206, 0.14029549062252045, 0.10587409883737564, 0.07388919591903687, 0.044323746114969254, 0.01943877711892128, 0.0027489634230732918, 9.156500163953751e-05]"
8,2021-01-14 03:49:02.213747,88,2.4969721893931545,4.640094174967183,"[0.45268216729164124, 0.4225262701511383, 0.382636159658432, 0.33820226788520813, 0.28241798281669617, 0.2207649201154709, 0.14615429937839508, 0.07289357483386993, 0.01872899755835533, 0.0008520496776327491]","[0.25555211305618286, 0.2222275286912918, 0.18974152207374573, 0.15447446703910828, 0.11585583537817001, 0.07796479761600494, 0.04784227907657623, 0.020032867789268494, 0.003998946864157915, 0.00010728351480793208]"
29,2021-01-14 03:49:10.475459,38,2.502509875919508,4.605794618656109,"[0.37458401918411255, 0.34503430128097534, 0.3104746341705322, 0.26820746064186096, 0.21927806735038757, 0.1669316589832306, 0.10760313272476196, 0.051669348031282425, 0.010654511861503124, 0.0002637167344801128]","[0.23338398337364197, 0.20250928401947021, 0.1757802963256836, 0.1461910456418991, 0.1107613667845726, 0.07599158585071564, 0.042550381273031235, 0.01838286779820919, 0.004522603936493397, 0.0001246243336936459]"
27,2021-01-14 03:53:16.915035,45,2.7596517566321555,4.889107806341989,"[0.3367239832878113, 0.31129395961761475, 0.27857252955436707, 0.23832829296588898, 0.19287726283073425, 0.13986524939537048, 0.08665473759174347, 0.03937337547540665, 0.008900446817278862, 0.0002648098161444068]","[0.20656736195087433, 0.18163731694221497, 0.15307369828224182, 0.12133139371871948, 0.09065241366624832, 0.059713415801525116, 0.033196426928043365, 0.013944463804364204, 0.0024269702844321728, 6.255628250073642e-05]"
8,2021-01-14 03:56:47.354373,89,2.506247324536937,4.622616653318529,"[0.4602722227573395, 0.4305608868598938, 0.3905244767665863, 0.3448128402233124, 0.2914021611213684, 0.2231241762638092, 0.15088534355163574, 0.07650507986545563, 0.018929574638605118, 0.0006680975202471018]","[0.255687952041626, 0.2207060307264328, 0.19299668073654175, 0.1554582267999649, 0.11682470887899399, 0.07700131833553314, 0.04521072283387184, 0.019821109250187874, 0.00403233477845788, 0.00010535281762713566]"
29,2021-01-14 04:00:50.390489,39,2.4767872506293696,4.626630606589379,"[0.38002458214759827, 0.35151606798171997, 0.31568098068237305, 0.2729979455471039, 0.22125720977783203, 0.16119851171970367, 0.09791827946901321, 0.04376666992902756, 0.009150983765721321, 0.0002610940719023347]","[0.23495247960090637, 0.20553550124168396, 0.1768619269132614, 0.1432829201221466, 0.10693148523569107, 0.07149911671876907, 0.04172413796186447, 0.019007820636034012, 0.004252464510500431, 0.0003360742412041873]"
27,2021-01-14 04:05:18.452414,46,2.645535453160604,4.751715365942422,"[0.3600046932697296, 0.334067702293396, 0.30487260222435, 0.26613616943359375, 0.22018437087535858, 0.16876527667045593, 0.1060466393828392, 0.04734966531395912, 0.010047593154013157, 0.0003167751128785312]","[0.23233404755592346, 0.20412662625312805, 0.1760409027338028, 0.14430533349514008, 0.10987456142902374, 0.07560946047306061, 0.04602166637778282, 0.01972639188170433, 0.0030044405721127987, 6.226493132999167e-05]"
8,2021-01-14 04:05:24.945839,90,2.4659794254820477,4.596794277042537,"[0.46536001563072205, 0.43804746866226196, 0.40191322565078735, 0.3545559048652649, 0.2984500825405121, 0.2353247106075287, 0.15874263644218445, 0.08094826340675354, 0.020550817251205444, 0.0007449122495017946]","[0.25728970766067505, 0.22428181767463684, 0.19478751718997955, 0.15246668457984924, 0.11798510700464249, 0.07833795994520187, 0.04923401400446892, 0.02016785927116871, 0.0054427143186330795, 0.0005643034819513559]"
29,2021-01-14 04:14:55.912848,40,2.491786337935406,4.6325055128568176,"[0.38309305906295776, 0.3556364178657532, 0.3207910656929016, 0.27684614062309265, 0.2246706783771515, 0.16566623747348785, 0.10401340574026108, 0.046268001198768616, 0.010017997585237026, 0.00032590347109362483]","[0.23317258059978485, 0.20347008109092712, 0.17347604036331177, 0.1401689648628235, 0.10644557327032089, 0.07320059090852737, 0.04135066270828247, 0.01625397428870201, 0.0025562525261193514, 6.321891851257533e-05]"
8,2021-01-14 04:16:18.964369,91,2.3994933459185814,4.540495380178674,"[0.46917280554771423, 0.4376097321510315, 0.40269413590431213, 0.3598772883415222, 0.30735594034194946, 0.24033291637897491, 0.16346365213394165, 0.08856594562530518, 0.024143513292074203, 0.0008288386161439121]","[0.2666495740413666, 0.23407697677612305, 0.19839075207710266, 0.1587965339422226, 0.1202179566025734, 0.08220014721155167, 0.04864365980029106, 0.021347710862755775, 0.004844378679990768, 0.0002932436764240265]"
27,2021-01-14 04:19:25.067316,47,2.5701941852984223,4.74545051215531,"[0.37645357847213745, 0.3490387797355652, 0.31547802686691284, 0.27799564599990845, 0.23094411194324493, 0.17390911281108856, 0.11468241363763809, 0.05102487653493881, 0.01151544600725174, 0.00025880333851091564]","[0.23362772166728973, 0.20776279270648956, 0.17732669413089752, 0.14527027308940887, 0.1106158047914505, 0.07662701606750488, 0.04411549121141434, 0.016948774456977844, 0.0033513184171169996, 0.00014650821685791016]"
8,2021-01-14 04:24:32.822088,92,2.390386017256005,4.596496996941505,"[0.4704989492893219, 0.4422646164894104, 0.4087761342525482, 0.3655370771884918, 0.3118239939212799, 0.2469475269317627, 0.16771894693374634, 0.08872717618942261, 0.02574460580945015, 0.0008565637399442494]","[0.25668665766716003, 0.22546200454235077, 0.1944006234407425, 0.1566777527332306, 0.12241120636463165, 0.08340220153331757, 0.05110001564025879, 0.023006299510598183, 0.004631259012967348, 0.00013369324733503163]"
29,2021-01-14 04:26:57.947361,41,2.51671941695006,4.6350989744260715,"[0.38624247908592224, 0.35706210136413574, 0.3235262632369995, 0.2799786925315857, 0.23070745170116425, 0.17400601506233215, 0.10899196565151215, 0.04914749413728714, 0.010525335557758808, 0.0002700013865251094]","[0.23442387580871582, 0.20728561282157898, 0.17875689268112183, 0.1436002552509308, 0.10811028629541397, 0.07464234530925751, 0.0418265275657177, 0.016661737114191055, 0.003417653264477849, 0.00010763054888229817]"
27,2021-01-14 04:30:37.579609,48,2.5959107751431674,4.823198866534542,"[0.3636784851551056, 0.3398549258708954, 0.3087756931781769, 0.2694862484931946, 0.2235863208770752, 0.1702759563922882, 0.10837677866220474, 0.04811892658472061, 0.010746435262262821, 0.0002957133110612631]","[0.22531986236572266, 0.2000845968723297, 0.1697896271944046, 0.13713151216506958, 0.10260389745235443, 0.07265385240316391, 0.044948771595954895, 0.017107989639043808, 0.003312039654701948, 0.00029884124523960054]"
8,2021-01-14 04:32:40.240982,93,2.3820736611536306,4.568786769718319,"[0.47210678458213806, 0.4427105784416199, 0.4083370268344879, 0.3660248816013336, 0.310861736536026, 0.24719050526618958, 0.169504314661026, 0.08948682248592377, 0.02106330543756485, 0.0008542891591787338]","[0.25774502754211426, 0.2264748066663742, 0.19135960936546326, 0.1574050486087799, 0.11824812740087509, 0.0781586542725563, 0.048341963440179825, 0.022137705236673355, 0.004749226849526167, 5.792850788566284e-05]"
29,2021-01-14 04:38:47.557275,42,2.4159901131754338,4.533719722326699,"[0.39880138635635376, 0.3694843649864197, 0.33465445041656494, 0.2903454899787903, 0.23520703613758087, 0.1750069111585617, 0.11209864914417267, 0.05276477336883545, 0.011534485034644604, 0.0003997046151198447]","[0.24577638506889343, 0.21839146316051483, 0.18318721652030945, 0.14938747882843018, 0.11451894044876099, 0.0797448605298996, 0.04884014651179314, 0.02014210633933544, 0.004696249961853027, 0.00011666871432680637]"
8,2021-01-14 04:42:40.425355,94,2.3897350883299064,4.56067833033475,"[0.47504496574401855, 0.44530901312828064, 0.40870657563209534, 0.36672693490982056, 0.3110593557357788, 0.24887731671333313, 0.17250306904315948, 0.0901244655251503, 0.02483341470360756, 0.0008303197100758553]","[0.26450520753860474, 0.23298685252666473, 0.19482778012752533, 0.1573738157749176, 0.12015901505947113, 0.08172748237848282, 0.048299312591552734, 0.018902530893683434, 0.004381525330245495, 9.147277160082012e-05]"
27,2021-01-14 04:43:21.425500,49,2.580849540406379,4.698727740869893,"[0.3661559224128723, 0.3410552442073822, 0.30910488963127136, 0.27419739961624146, 0.2253333330154419, 0.17000271379947662, 0.11208383738994598, 0.050500351935625076, 0.01075790449976921, 0.0003633351589087397]","[0.23672311007976532, 0.21260443329811096, 0.18345218896865845, 0.15230776369571686, 0.11182556301355362, 0.08115486800670624, 0.045643460005521774, 0.02093430608510971, 0.004284461960196495, 0.0001396706502418965]"
